id,selectedchoice,cost,orca_5,orca_10,orca_15,whale_50,whale_75,whale_100,otter_25,otter_50,otter_75,vessel_nc,vessel_mc,time_2,time_4,time_6,glacier_yes,grp,ana_otter_25,ana_otter_50,ana_otter_75,ana_orca_5,ana_orca_10,ana_orca_15,ana_glacier_yes,ana_cost_cost,ana_whale_50,ana_whale_75,ana_whale_100,ana_time_2,ana_time_4,ana_time_6,ana_vessel_nc,ana_vessel_mc
7,0,300,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,3474,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7,1,200,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,3474,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,1,200,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,3574,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
7,0,300,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,3574,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,0,150,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,0,300,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,3674,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,0,150,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1993,1,0,0,0,0,1,0,150,0,0,1,0,1,0,0,0
9,1,200,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1993,0,0,1,0,1,0,1,200,0,0,0,0,1,0,0,1
9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,1,150,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,2093,0,0,1,0,0,1,1,150,1,0,0,1,0,0,0,1
9,0,300,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,2093,0,1,0,0,0,1,0,300,1,0,0,0,1,0,1,0
9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,1,100,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,2193,0,0,0,0,0,1,0,100,0,1,0,0,1,0,0,1
9,0,150,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,2193,0,1,0,0,1,0,0,150,0,0,0,0,1,0,1,0
9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,0,150,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,2293,0,1,0,0,0,0,1,150,1,0,0,0,1,0,0,0
9,1,300,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,2293,0,0,1,0,1,0,0,300,1,0,0,1,0,0,1,0
9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,0,250,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,2393,0,0,1,1,0,0,0,250,1,0,0,0,0,1,1,0
9,1,200,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,2393,1,0,0,0,0,0,1,200,0,0,1,0,0,1,0,1
9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,0,300,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2493,0,0,0,0,0,0,0,300,0,0,1,0,1,0,1,0
9,1,250,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,2493,1,0,0,0,0,1,0,250,1,0,0,0,0,1,0,1
9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,0,100,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2593,1,0,0,1,0,0,0,100,0,1,0,1,0,0,0,0
9,1,200,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2593,1,0,0,1,0,0,1,200,0,0,0,0,0,1,0,1
9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,1,300,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,2693,0,0,1,0,0,1,1,300,0,0,1,0,0,1,0,0
9,0,250,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,2693,0,0,0,0,1,0,1,250,0,1,0,0,0,1,0,1
9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,1,250,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,2793,0,1,0,0,1,0,1,250,0,0,1,0,1,0,1,0
9,0,300,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,2793,0,1,0,0,0,0,1,300,0,1,0,1,0,0,0,1
